ISCO 08	CP2021	unique ID	ID	identity term	toxicity	number	word's gender	gender specification	second category	further specification	glossary	language	notes
031	9.3.1.1.0	650-p-n-i-it	650	le truppe delle forze armate	toxic free	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.1.1	651_1-s-n-i-it	651_1	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	toxic free	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.1.1	651_1-p-n-i-it	651_1	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	toxic free	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.1.2	651_2-s-n-i-it	651_2	il membro di autorità indipendenti con potestà regolamentare	toxic free	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.1.2	651_2-p-n-i-it	651_2	i membri di autorità indipendenti con potestà regolamentare	toxic free	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.2.0	651_3-s-n-i-it	651_3	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	toxic free	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.2.0	651_3-p-n-i-it	651_3	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	toxic free	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.3.0	651_4-s-n-i-it	651_4	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	toxic free	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.3.0	651_4-p-n-i-it	651_4	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	toxic free	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.4.0	651_5-s-n-i-it	651_5	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	toxic free	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.1.4.0	651_5-p-n-i-it	651_5	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	toxic free	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.1.0	651_6-sp-n-*-it	651_6	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	toxic free	singular, plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.1.0	651_6-s-m-b-it	651_6	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.1.0	651_6-s-f-b-it	651_6	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.1.0	651_6-p-m-b-it	651_6	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.1.0	651_6-p-f-b-it	651_6	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.1	651_7-sp-n-*-it	651_7	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	toxic free	singular, plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.1	651_7-s-m-b-it	651_7	il prefetto, vice prefetto e alto dirigente della carriera prefettizia	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.1	651_7-s-f-b-it	651_7	la prefetta, vice prefetta e alta dirigente della carriera prefettizia	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.1	651_7-p-m-b-it	651_7	i prefetti, vice prefetti e alti dirigenti della carriera prefettizia	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.1	651_7-p-f-b-it	651_7	le prefette, vice prefette e alte dirigenti della carriera prefettizia	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.2	651_8-s-n-*-it	651_8	l* responsabile della sicurezza pubblica	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.2	651_8-s-m-b-it	651_8	il responsabile della sicurezza pubblica	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.2	651_8-s-f-b-it	651_8	la responsabile della sicurezza pubblica	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.2	651_8-p-n-*-it	651_8	l* responsabili della sicurezza pubblica	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.2	651_8-p-m-b-it	651_8	i responsabili della sicurezza pubblica	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.2.2.2	651_8-p-f-b-it	651_8	le responsabili della sicurezza pubblica	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.3.1.0	651_9-sp-n-*-it	651_9	l* magistrat* con funzioni direttive superiori, di indirizzo e di coordinamento	toxic free	singular, plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.3.1.0	651_9-s-m-b-it	651_9	il magistrato con funzioni direttive superiori, di indirizzo e di coordinamento	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.3.1.0	651_9-s-f-b-it	651_9	la magistrata con funzioni direttive superiori, di indirizzo e di coordinamento	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.3.1.0	651_9-p-m-b-it	651_9	i magistrati con funzioni direttive superiori, di indirizzo e di coordinamento	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.3.1.0	651_9-p-f-b-it	651_9	le magistrate con funzioni direttive superiori, di indirizzo e di coordinamento	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.1	651_10-s-n-*-it	651_10	l* dirigente di partiti e movimenti politici	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.1	651_10-s-m-b-it	651_10	il dirigente di partiti e movimenti politici	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.1	651_10-s-f-b-it	651_10	la dirigente di partiti e movimenti politici	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.1	651_10-p-n-*-it	651_10	l* dirigenti di partiti e movimenti politici	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.1	651_10-p-m-b-it	651_10	i dirigenti di partiti e movimenti politici	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.1	651_10-p-f-b-it	651_10	le dirigenti di partiti e movimenti politici	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.2	651_11-s-n-*-it	651_11	l* dirigente di sindacati e altre organizzazioni a tutela di interessi economici e sociali	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.2	651_11-s-m-b-it	651_11	il dirigente di sindacati e altre organizzazioni a tutela di interessi economici e sociali	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.2	651_11-s-f-b-it	651_11	la dirigente di sindacati e altre organizzazioni a tutela di interessi economici e sociali	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.2	651_11-p-n-*-it	651_11	l* dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.2	651_11-p-m-b-it	651_11	i dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.1.2	651_11-p-f-b-it	651_11	le dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.2.0	651_12-s-n-*-it	651_12	l* dirigente di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.2.0	651_12-s-m-b-it	651_12	il dirigente di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.2.0	651_12-s-f-b-it	651_12	la dirigente di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.2.0	651_12-p-n-*-it	651_12	l* dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.2.0	651_12-p-m-b-it	651_12	i dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
111	1.1.4.2.0	651_12-p-f-b-it	651_12	le dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.5	652_1-s-n-*-it	652_1	l* sovrintendente al patrimonio culturale nazionale	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.5	652_1-s-m-b-it	652_1	il sovrintendente al patrimonio culturale nazionale	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.5	652_1-s-f-b-it	652_1	la sovrintendente al patrimonio culturale nazionale	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.5	652_1-p-n-*-it	652_1	l* sovrintendenti al patrimonio culturale nazionale	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.5	652_1-p-m-b-it	652_1	i sovrintendenti al patrimonio culturale nazionale	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.5	652_1-p-f-b-it	652_1	le sovrintendenti al patrimonio culturale nazionale	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.1	652_2-s-n-*-it	652_2	l* dirett* generale, dipartimentale ed equiparat* delle amministrazioni dello stato e degli enti pubblici non economici	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.1	652_2-s-m-b-it	652_2	il direttore generale, dipartimentale ed equiparato delle amministrazioni dello stato e degli enti pubblici non economici	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.1	652_2-s-f-b-it	652_2	la direttrice generale, dipartimentale ed equiparata delle amministrazioni dello stato e degli enti pubblici non economici	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.1	652_2-p-n-*-it	652_2	l* dirett* generali, dipartimentali ed equiparat* delle amministrazioni dello stato e degli enti pubblici non economici	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.1	652_2-p-m-b-it	652_2	i direttori generali, dipartimentali ed equiparati delle amministrazioni dello stato e degli enti pubblici non economici	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.1	652_2-p-f-b-it	652_2	le direttrici generali, dipartimentali ed equiparate delle amministrazioni dello stato e degli enti pubblici non economici	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.4	652_4-s-n-*-it	652_4	l* dirett* generale ed equiparat* nelle regioni, nelle province autonome e negli enti locali	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.4	652_4-s-m-b-it	652_4	il direttore generale ed equiparato nelle regioni, nelle province autonome e negli enti locali	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.4	652_4-s-f-b-it	652_4	la direttrice generale ed equiparata nelle regioni, nelle province autonome e negli enti locali	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.4	652_4-p-n-*-it	652_4	l* dirett* generali ed equiparat* nelle regioni, nelle province autonome e negli enti locali	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.4	652_4-p-m-b-it	652_4	i direttori generali ed equiparati nelle regioni, nelle province autonome e negli enti locali	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.3.4	652_4-p-f-b-it	652_4	le direttrici generali ed equiparate nelle regioni, nelle province autonome e negli enti locali	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.4.1	652_5-s-n-*-it	652_5	l* dirigente amministrativ*	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.4.1	652_5-s-m-b-it	652_5	il dirigente amministrativo	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.4.1	652_5-s-f-b-it	652_5	la dirigente amministrativa	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.4.1	652_5-p-n-*-it	652_5	l* dirigenti amministrativ*	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.4.1	652_5-p-m-b-it	652_5	i dirigenti amministrativi	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.1.2.4.1	652_5-p-f-b-it	652_5	le dirigenti amministrative	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.1	652_6-s-m-b-it	652_6	l'mprendit* e amministrat* di grandi aziende che operano nella manifattura e nell'estrazione di minerali	toxic free	singular	neutral	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.1	652_6-s-m-b-it	652_6	l'mprenditore e amministratore di grandi aziende che operano nella manifattura e nell'estrazione di minerali	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.1	652_6-s-f-b-it	652_6	l'imprenditrice e amministratrice di grandi aziende che operano nella manifattura e nell'estrazione di minerali	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.1	652_6-sp-n-*-it	652_6	l* imprendit* e amministrat* di grandi aziende che operano nella manifattura e nell'estrazione di minerali	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.1	652_6-p-m-b-it	652_6	gli imprenditori e amministratori di grandi aziende che operano nella manifattura e nell'estrazione di minerali	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.1	652_6-p-f-b-it	652_6	le imprenditrici e amministratrici di grandi aziende che operano nella manifattura e nell'estrazione di minerali	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.2	652_7-s-m-b-it	652_7	l'imprendit* e amministrat* di grandi aziende che operano nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti	toxic free	singular	neutral	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.2	652_7-s-m-b-it	652_7	l'imprenditore e amministratore di grandi aziende che operano nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.2	652_7-s-f-b-it	652_7	l'imprenditrice e amministratrice di grandi aziende che operano nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.2	652_7-sp-n-*-it	652_7	l* imprendit* e amministrat* di grandi aziende che operano nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.2	652_7-p-m-b-it	652_7	gli imprenditori e amministratori di grandi aziende che operano nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.2.2	652_7-p-f-b-it	652_7	le imprenditrici e amministratrici di grandi aziende che operano nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.3.0	652_8-s-m-b-it	652_8	l'imprendit* e amministrat* di grandi aziende di costruzioni	toxic free	singular	neutral	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.3.0	652_8-s-m-b-it	652_8	l'imprenditore e amministratore di grandi aziende di costruzioni	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.3.0	652_8-s-f-b-it	652_8	l'imprenditrice e amministratrice di grandi aziende di costruzioni	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.3.0	652_8-sp-n-*-it	652_8	l* imprendit* e amministrat* di grandi aziende di costruzioni	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.3.0	652_8-p-m-b-it	652_8	gli imprenditori e amministratori di grandi aziende di costruzioni	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.3.0	652_8-p-f-b-it	652_8	le imprenditrici e amministratrici di grandi aziende di costruzioni	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.1	652_9-sp-n-*-it	652_9	l'imprendit* e amministrat* di grandi aziende nel commercio e riparazione di autoveicoli e motocicli	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.1	652_9-s-m-b-it	652_9	l'imprenditore e amministratore di grandi aziende nel commercio e riparazione di autoveicoli e motocicli	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.1	652_9-s-f-b-it	652_9	l'imprenditrice e amministratrice di grandi aziende nel commercio e riparazione di autoveicoli e motocicli	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.1	652_9-sp-n-*-it	652_9	l* imprendit* e amministrat* di grandi aziende nel commercio e riparazione di autoveicoli e motocicli	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.1	652_9-p-m-b-it	652_9	gli imprenditori e amministratori di grandi aziende nel commercio e riparazione di autoveicoli e motocicli	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.1	652_9-p-f-b-it	652_9	le imprenditrici e amministratrici di grandi aziende nel commercio e riparazione di autoveicoli e motocicli	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.2	652_10-sp-n-*-it	652_10	l'imprendit* e amministrat* di grandi aziende nel commercio di beni (esclusi autoveicoli e motocicli)	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.2	652_10-s-m-b-it	652_10	l'imprenditore e amministratore di grandi aziende nel commercio di beni (esclusi autoveicoli e motocicli)	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.2	652_10-s-f-b-it	652_10	l'imprenditrice e amministratrice di grandi aziende nel commercio di beni (esclusi autoveicoli e motocicli)	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.2	652_10-sp-n-*-it	652_10	l'imprendit* e amministrat* di grandi aziende nel commercio di beni (esclusi autoveicoli e motocicli)	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.2	652_10-p-m-b-it	652_10	gli imprenditori e amministratori di grandi aziende nel commercio di beni (esclusi autoveicoli e motocicli)	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.4.2	652_10-p-f-b-it	652_10	le imprenditrici e amministratrici di grandi aziende nel commercio di beni (esclusi autoveicoli e motocicli)	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.5.0	652_11-sp-n-*-it	652_11	l'imprendit* e amministrat* di grandi aziende nei servizi di alloggio e ristorazione	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.5.0	652_11-s-m-b-it	652_11	l'imprenditore e amministratore di grandi aziende nei servizi di alloggio e ristorazione	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.5.0	652_11-s-f-b-it	652_11	l'imprenditrice e amministratrice di grandi aziende nei servizi di alloggio e ristorazione	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.5.0	652_11-sp-n-*-it	652_11	l* imprendit* e amministrat* di grandi aziende nei servizi di alloggio e ristorazione	toxic free	plural	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.5.0	652_11-p-m-b-it	652_11	gli imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione	toxic free	plural	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.5.0	652_11-p-f-b-it	652_11	le imprenditrici e amministratrici di grandi aziende nei servizi di alloggio e ristorazione	toxic free	plural	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.6.1	652_12-sp-n-*-it	652_12	l'imprendit* e amministrat* di grandi aziende nel settore dei trasporti e magazzinaggio	toxic free	singular	neutral	*	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.6.1	652_12-s-m-b-it	652_12	l'imprenditore e amministratore di grandi aziende nel settore dei trasporti e magazzinaggio	toxic free	singular	male	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
112	1.2.1.6.1	652_12-s-f-b-it	652_12	l'imprenditrice e amministratrice di grandi aziende nel settore dei trasporti e magazzinaggio	toxic free	singular	female	binary	sociocultural status	economical, educational and employment status	ISTAT CP2021 ISCO-08	it	
