	template	CP2021	ISCO	unique-ID	ident_term	number	gender	gen_spec	templ_ID
39	la sergente, sovraintendente e marescialla delle forze armate fa	9.2.1.1.0	021	649-s-f-b-it	la sergente, sovraintendente e marescialla delle forze armate	singular	female	binary	to do-indicative-present-affirmative
40	i sergenti, sovraintendenti e marescialli delle forze armate aspirano a	9.2.1.1.0	021	649-p-m-b-it	i sergenti, sovraintendenti e marescialli delle forze armate	plural	male	binary	to aspire to-indicative-present-affirmative
41	i sergenti, sovraintendenti e marescialli delle forze armate sono	9.2.1.1.0	021	649-p-m-b-it	i sergenti, sovraintendenti e marescialli delle forze armate	plural	male	binary	to be-indicative-present-affirmative
42	i sergenti, sovraintendenti e marescialli delle forze armate sono considerati	9.2.1.1.0	021	649-p-m-b-it	i sergenti, sovraintendenti e marescialli delle forze armate	plural	male	binary	to be considered-indicative-present-affirmative
43	i sergenti, sovraintendenti e marescialli delle forze armate fanno	9.2.1.1.0	021	649-p-m-b-it	i sergenti, sovraintendenti e marescialli delle forze armate	plural	male	binary	to do-indicative-present-affirmative
44	le sergenti, sovraintendenti e marescialle delle forze armate aspirano a	9.2.1.1.0	021	649-p-f-b-it	le sergenti, sovraintendenti e marescialle delle forze armate	plural	female	binary	to aspire to-indicative-present-affirmative
45	le sergenti, sovraintendenti e marescialle delle forze armate sono	9.2.1.1.0	021	649-p-f-b-it	le sergenti, sovraintendenti e marescialle delle forze armate	plural	female	binary	to be-indicative-present-affirmative
46	le sergenti, sovraintendenti e marescialle delle forze armate sono considerate	9.2.1.1.0	021	649-p-f-b-it	le sergenti, sovraintendenti e marescialle delle forze armate	plural	female	binary	to be considered-indicative-present-affirmative
47	le sergenti, sovraintendenti e marescialle delle forze armate fanno	9.2.1.1.0	021	649-p-f-b-it	le sergenti, sovraintendenti e marescialle delle forze armate	plural	female	binary	to do-indicative-present-affirmative
48	la truppa delle forze armate aspira a	9.3.1.1.0	031	650-s-n-i-it	la truppa delle forze armate	singular	neutral	innate	to aspire to-indicative-present-affirmative
49	la truppa delle forze armate è	9.3.1.1.0	031	650-s-n-i-it	la truppa delle forze armate	singular	neutral	innate	to be-indicative-present-affirmative
50	la truppa delle forze armate è considerat*	9.3.1.1.0	031	650-s-n-i-it	la truppa delle forze armate	singular	neutral	innate	to be considered-indicative-present-affirmative
51	la truppa delle forze armate fa	9.3.1.1.0	031	650-s-n-i-it	la truppa delle forze armate	singular	neutral	innate	to do-indicative-present-affirmative
52	le truppe delle forze armate aspirano a	9.3.1.1.0	031	650-p-n-i-it	le truppe delle forze armate	plural	neutral	innate	to aspire to-indicative-present-affirmative
53	le truppe delle forze armate sono	9.3.1.1.0	031	650-p-n-i-it	le truppe delle forze armate	plural	neutral	innate	to be-indicative-present-affirmative
54	le truppe delle forze armate sono considerat*	9.3.1.1.0	031	650-p-n-i-it	le truppe delle forze armate	plural	neutral	innate	to be considered-indicative-present-affirmative
55	le truppe delle forze armate fanno	9.3.1.1.0	031	650-p-n-i-it	le truppe delle forze armate	plural	neutral	innate	to do-indicative-present-affirmative
56	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare aspira a	1.1.1.1.1	111	651_1-s-n-i-it	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	singular	neutral	innate	to aspire to-indicative-present-affirmative
57	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare è	1.1.1.1.1	111	651_1-s-n-i-it	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	singular	neutral	innate	to be-indicative-present-affirmative
58	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare è considerat*	1.1.1.1.1	111	651_1-s-n-i-it	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	singular	neutral	innate	to be considered-indicative-present-affirmative
59	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare fa	1.1.1.1.1	111	651_1-s-n-i-it	il membro di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	singular	neutral	innate	to do-indicative-present-affirmative
60	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare aspirano a	1.1.1.1.1	111	651_1-p-n-i-it	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	plural	neutral	innate	to aspire to-indicative-present-affirmative
61	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare sono	1.1.1.1.1	111	651_1-p-n-i-it	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	plural	neutral	innate	to be-indicative-present-affirmative
62	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare sono considerat*	1.1.1.1.1	111	651_1-p-n-i-it	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	plural	neutral	innate	to be considered-indicative-present-affirmative
63	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare fanno	1.1.1.1.1	111	651_1-p-n-i-it	i membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare	plural	neutral	innate	to do-indicative-present-affirmative
64	il membro di autorità indipendenti con potestà regolamentare aspira a	1.1.1.1.2	111	651_2-s-n-i-it	il membro di autorità indipendenti con potestà regolamentare	singular	neutral	innate	to aspire to-indicative-present-affirmative
65	il membro di autorità indipendenti con potestà regolamentare è	1.1.1.1.2	111	651_2-s-n-i-it	il membro di autorità indipendenti con potestà regolamentare	singular	neutral	innate	to be-indicative-present-affirmative
66	il membro di autorità indipendenti con potestà regolamentare è considerat*	1.1.1.1.2	111	651_2-s-n-i-it	il membro di autorità indipendenti con potestà regolamentare	singular	neutral	innate	to be considered-indicative-present-affirmative
67	il membro di autorità indipendenti con potestà regolamentare fa	1.1.1.1.2	111	651_2-s-n-i-it	il membro di autorità indipendenti con potestà regolamentare	singular	neutral	innate	to do-indicative-present-affirmative
68	i membri di autorità indipendenti con potestà regolamentare aspirano a	1.1.1.1.2	111	651_2-p-n-i-it	i membri di autorità indipendenti con potestà regolamentare	plural	neutral	innate	to aspire to-indicative-present-affirmative
69	i membri di autorità indipendenti con potestà regolamentare sono	1.1.1.1.2	111	651_2-p-n-i-it	i membri di autorità indipendenti con potestà regolamentare	plural	neutral	innate	to be-indicative-present-affirmative
70	i membri di autorità indipendenti con potestà regolamentare sono considerat*	1.1.1.1.2	111	651_2-p-n-i-it	i membri di autorità indipendenti con potestà regolamentare	plural	neutral	innate	to be considered-indicative-present-affirmative
71	i membri di autorità indipendenti con potestà regolamentare fanno	1.1.1.1.2	111	651_2-p-n-i-it	i membri di autorità indipendenti con potestà regolamentare	plural	neutral	innate	to do-indicative-present-affirmative
72	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare aspira a	1.1.1.2.0	111	651_3-s-n-i-it	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	singular	neutral	innate	to aspire to-indicative-present-affirmative
73	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare è	1.1.1.2.0	111	651_3-s-n-i-it	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	singular	neutral	innate	to be-indicative-present-affirmative
74	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare è considerat*	1.1.1.2.0	111	651_3-s-n-i-it	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	singular	neutral	innate	to be considered-indicative-present-affirmative
75	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare fa	1.1.1.2.0	111	651_3-s-n-i-it	il membro di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	singular	neutral	innate	to do-indicative-present-affirmative
76	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare aspirano a	1.1.1.2.0	111	651_3-p-n-i-it	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	plural	neutral	innate	to aspire to-indicative-present-affirmative
77	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare sono	1.1.1.2.0	111	651_3-p-n-i-it	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	plural	neutral	innate	to be-indicative-present-affirmative
78	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare sono considerat*	1.1.1.2.0	111	651_3-p-n-i-it	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	plural	neutral	innate	to be considered-indicative-present-affirmative
79	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare fanno	1.1.1.2.0	111	651_3-p-n-i-it	i membri di organismi di governo e di assemblee regionali e di province autonome con potestà legislativa e regolamentare	plural	neutral	innate	to do-indicative-present-affirmative
80	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana aspira a	1.1.1.3.0	111	651_4-s-n-i-it	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	singular	neutral	innate	to aspire to-indicative-present-affirmative
81	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana è	1.1.1.3.0	111	651_4-s-n-i-it	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	singular	neutral	innate	to be-indicative-present-affirmative
82	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana è considerat*	1.1.1.3.0	111	651_4-s-n-i-it	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	singular	neutral	innate	to be considered-indicative-present-affirmative
83	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana fa	1.1.1.3.0	111	651_4-s-n-i-it	il membro di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	singular	neutral	innate	to do-indicative-present-affirmative
84	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana aspirano a	1.1.1.3.0	111	651_4-p-n-i-it	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	plural	neutral	innate	to aspire to-indicative-present-affirmative
85	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana sono	1.1.1.3.0	111	651_4-p-n-i-it	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	plural	neutral	innate	to be-indicative-present-affirmative
86	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana sono considerat*	1.1.1.3.0	111	651_4-p-n-i-it	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	plural	neutral	innate	to be considered-indicative-present-affirmative
87	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana fanno	1.1.1.3.0	111	651_4-p-n-i-it	i membri di organismi di governo e di assemblee provinciali con potestà regolamentare o di città metropolitana	plural	neutral	innate	to do-indicative-present-affirmative
88	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare aspira a	1.1.1.4.0	111	651_5-s-n-i-it	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	singular	neutral	innate	to aspire to-indicative-present-affirmative
89	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare è	1.1.1.4.0	111	651_5-s-n-i-it	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	singular	neutral	innate	to be-indicative-present-affirmative
90	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare è considerat*	1.1.1.4.0	111	651_5-s-n-i-it	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	singular	neutral	innate	to be considered-indicative-present-affirmative
91	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare fa	1.1.1.4.0	111	651_5-s-n-i-it	il membro di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	singular	neutral	innate	to do-indicative-present-affirmative
92	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare aspirano a	1.1.1.4.0	111	651_5-p-n-i-it	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	plural	neutral	innate	to aspire to-indicative-present-affirmative
93	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare sono	1.1.1.4.0	111	651_5-p-n-i-it	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	plural	neutral	innate	to be-indicative-present-affirmative
94	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare sono considerat*	1.1.1.4.0	111	651_5-p-n-i-it	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	plural	neutral	innate	to be considered-indicative-present-affirmative
95	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare fanno	1.1.1.4.0	111	651_5-p-n-i-it	i membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare	plural	neutral	innate	to do-indicative-present-affirmative
96	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica aspira a	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
97	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica aspirano a	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
98	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica è	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to be-indicative-present-affirmative
99	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica sono	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to be-indicative-present-affirmative
100	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica è considerat*	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to be considered-indicative-present-affirmative
101	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica sono considerat*	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to be considered-indicative-present-affirmative
102	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica fa	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to do-indicative-present-affirmative
103	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica fanno	1.1.2.1.0	111	651_6-sp-n-*-it	l* ambasciator*, ministr* plenipotenziari* e alt* dirigent* della carriera diplomatica	singular, plural	neutral	*	to do-indicative-present-affirmative
104	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica aspira a	1.1.2.1.0	111	651_6-s-m-b-it	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica	singular	male	binary	to aspire to-indicative-present-affirmative
105	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica è	1.1.2.1.0	111	651_6-s-m-b-it	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica	singular	male	binary	to be-indicative-present-affirmative
106	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica è considerato	1.1.2.1.0	111	651_6-s-m-b-it	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica	singular	male	binary	to be considered-indicative-present-affirmative
107	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica fa	1.1.2.1.0	111	651_6-s-m-b-it	l'ambasciatore, ministro plenipotenziario e alto dirigente della carriera diplomatica	singular	male	binary	to do-indicative-present-affirmative
108	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica aspira a	1.1.2.1.0	111	651_6-s-f-b-it	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica	singular	female	binary	to aspire to-indicative-present-affirmative
109	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica è	1.1.2.1.0	111	651_6-s-f-b-it	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica	singular	female	binary	to be-indicative-present-affirmative
110	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica è considerata	1.1.2.1.0	111	651_6-s-f-b-it	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica	singular	female	binary	to be considered-indicative-present-affirmative
111	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica fa	1.1.2.1.0	111	651_6-s-f-b-it	l'ambasciatrice, ministra plenipotenziaria e alta dirigente della carriera diplomatica	singular	female	binary	to do-indicative-present-affirmative
112	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica aspirano a	1.1.2.1.0	111	651_6-p-m-b-it	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica	plural	male	binary	to aspire to-indicative-present-affirmative
113	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica sono	1.1.2.1.0	111	651_6-p-m-b-it	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica	plural	male	binary	to be-indicative-present-affirmative
114	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica sono considerati	1.1.2.1.0	111	651_6-p-m-b-it	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica	plural	male	binary	to be considered-indicative-present-affirmative
115	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica fanno	1.1.2.1.0	111	651_6-p-m-b-it	gli ambasciatori, ministri plenipotenziari e alti dirigenti della carriera diplomatica	plural	male	binary	to do-indicative-present-affirmative
116	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica aspirano a	1.1.2.1.0	111	651_6-p-f-b-it	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica	plural	female	binary	to aspire to-indicative-present-affirmative
117	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica sono	1.1.2.1.0	111	651_6-p-f-b-it	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica	plural	female	binary	to be-indicative-present-affirmative
118	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica sono considerate	1.1.2.1.0	111	651_6-p-f-b-it	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica	plural	female	binary	to be considered-indicative-present-affirmative
119	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica fanno	1.1.2.1.0	111	651_6-p-f-b-it	le ambasciatrici, ministre plenipotenziarie e alte dirigenti della carriera diplomatica	plural	female	binary	to do-indicative-present-affirmative
120	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia aspira a	1.1.2.2.1	111	651_7-sp-n-*-it	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
121	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia aspirano a	1.1.2.2.1	111	651_7-sp-n-*-it	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	singular, plural	neutral	*	to aspire to-indicative-present-affirmative
122	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia è	1.1.2.2.1	111	651_7-sp-n-*-it	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	singular, plural	neutral	*	to be-indicative-present-affirmative
123	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia sono	1.1.2.2.1	111	651_7-sp-n-*-it	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	singular, plural	neutral	*	to be-indicative-present-affirmative
124	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia è considerat*	1.1.2.2.1	111	651_7-sp-n-*-it	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	singular, plural	neutral	*	to be considered-indicative-present-affirmative
125	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia sono considerat*	1.1.2.2.1	111	651_7-sp-n-*-it	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	singular, plural	neutral	*	to be considered-indicative-present-affirmative
126	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia fa	1.1.2.2.1	111	651_7-sp-n-*-it	l* prefett*, vice prefett* e alt* dirigent* della carriera prefettizia	singular, plural	neutral	*	to do-indicative-present-affirmative
