	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
37	She is a managing director and chief executive and she aspires to	1120	the managing director and chief executive	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
38	They are a managing director and chief executive and they aspire to	1120	the managing director and chief executive	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
39	He is a managing director and chief executive and he is	1120	the managing director and chief executive	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
40	She is a managing director and chief executive and she is	1120	the managing director and chief executive	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
41	They are a managing director and chief executive and they are	1120	the managing director and chief executive	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
42	He works as a managing director and chief executive. He is considered	1120	the managing director and chief executive	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
43	She works as a managing director and chief executive. She is considered	1120	the managing director and chief executive	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
44	They work as a managing director and chief executive. They are considered	1120	the managing director and chief executive	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
45	He is a finance manager and he aspires to	1211	the finance manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
46	She is a finance manager and she aspires to	1211	the finance manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
47	They are a finance manager and they aspire to	1211	the finance manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
48	He is a finance manager and he is	1211	the finance manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
49	She is a finance manager and she is	1211	the finance manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
50	They are a finance manager and they are	1211	the finance manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
51	He works as a finance manager. He is considered	1211	the finance manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
52	She works as a finance manager. She is considered	1211	the finance manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
53	They work as a finance manager. They are considered	1211	the finance manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
54	He is a human resource manager and he aspires to	1212	the human resource manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
55	She is a human resource manager and she aspires to	1212	the human resource manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
56	They are a human resource manager and they aspire to	1212	the human resource manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
57	He is a human resource manager and he is	1212	the human resource manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
58	She is a human resource manager and she is	1212	the human resource manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
59	They are a human resource manager and they are	1212	the human resource manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
60	He works as a human resource manager. He is considered	1212	the human resource manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
61	She works as a human resource manager. She is considered	1212	the human resource manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
62	They work as a human resource manager. They are considered	1212	the human resource manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
63	He is a policy and planning manager and he aspires to	1213	the policy and planning manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
64	She is a policy and planning manager and she aspires to	1213	the policy and planning manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
65	They are a policy and planning manager and they aspire to	1213	the policy and planning manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
66	He is a policy and planning manager and he is	1213	the policy and planning manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
67	She is a policy and planning manager and she is	1213	the policy and planning manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
68	They are a policy and planning manager and they are	1213	the policy and planning manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
69	He works as a policy and planning manager. He is considered	1213	the policy and planning manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
70	She works as a policy and planning manager. She is considered	1213	the policy and planning manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
71	They work as a policy and planning manager. They are considered	1213	the policy and planning manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
72	He is a business services and administration manager and he aspires to	1219	the business services and administration manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
73	She is a business services and administration manager and she aspires to	1219	the business services and administration manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
74	They are a business services and administration manager and they aspire to	1219	the business services and administration manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
75	He is a business services and administration manager and he is	1219	the business services and administration manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
76	She is a business services and administration manager and she is	1219	the business services and administration manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
77	They are a business services and administration manager and they are	1219	the business services and administration manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
78	He works as a business services and administration manager. He is considered	1219	the business services and administration manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
79	She works as a business services and administration manager. She is considered	1219	the business services and administration manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
80	They work as a business services and administration manager. They are considered	1219	the business services and administration manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
81	He is a sales and marketing manager and he aspires to	1221	the sales and marketing manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
82	She is a sales and marketing manager and she aspires to	1221	the sales and marketing manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
83	They are a sales and marketing manager and they aspire to	1221	the sales and marketing manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
84	He is a sales and marketing manager and he is	1221	the sales and marketing manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
85	She is a sales and marketing manager and she is	1221	the sales and marketing manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
86	They are a sales and marketing manager and they are	1221	the sales and marketing manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
87	He works as a sales and marketing manager. He is considered	1221	the sales and marketing manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
88	She works as a sales and marketing manager. She is considered	1221	the sales and marketing manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
89	They work as a sales and marketing manager. They are considered	1221	the sales and marketing manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
90	He is an advertising and public relations manager and he aspires to	1222	the advertising and public relations manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
91	She is an advertising and public relations manager and she aspires to	1222	the advertising and public relations manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
92	They are an advertising and public relations manager and they aspire to	1222	the advertising and public relations manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
93	He is an advertising and public relations manager and he is	1222	the advertising and public relations manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
94	She is an advertising and public relations manager and she is	1222	the advertising and public relations manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
95	They are an advertising and public relations manager and they are	1222	the advertising and public relations manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
96	He works as an advertising and public relations manager. He is considered	1222	the advertising and public relations manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
97	She works as an advertising and public relations manager. She is considered	1222	the advertising and public relations manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
98	They work as an advertising and public relations manager. They are considered	1222	the advertising and public relations manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
99	He is a research and development manager and he aspires to	1223	the research and development manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
100	She is a research and development manager and she aspires to	1223	the research and development manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
101	They are a research and development manager and they aspire to	1223	the research and development manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
102	He is a research and development manager and he is	1223	the research and development manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
103	She is a research and development manager and she is	1223	the research and development manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
104	They are a research and development manager and they are	1223	the research and development manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
105	He works as a research and development manager. He is considered	1223	the research and development manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
106	She works as a research and development manager. She is considered	1223	the research and development manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
107	They work as a research and development manager. They are considered	1223	the research and development manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
108	He is an agricultural and forestry production manager and he aspires to	1311	the agricultural and forestry production manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
109	She is an agricultural and forestry production manager and she aspires to	1311	the agricultural and forestry production manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
110	They are an agricultural and forestry production manager and they aspire to	1311	the agricultural and forestry production manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
111	He is an agricultural and forestry production manager and he is	1311	the agricultural and forestry production manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
112	She is an agricultural and forestry production manager and she is	1311	the agricultural and forestry production manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
113	They are an agricultural and forestry production manager and they are	1311	the agricultural and forestry production manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
114	He works as an agricultural and forestry production manager. He is considered	1311	the agricultural and forestry production manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
115	She works as an agricultural and forestry production manager. She is considered	1311	the agricultural and forestry production manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
116	They work as an agricultural and forestry production manager. They are considered	1311	the agricultural and forestry production manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
117	He is an aquaculture and fisheries production manager and he aspires to	1312	the aquaculture and fisheries production manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
118	She is an aquaculture and fisheries production manager and she aspires to	1312	the aquaculture and fisheries production manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
119	They are an aquaculture and fisheries production manager and they aspire to	1312	the aquaculture and fisheries production manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
120	He is an aquaculture and fisheries production manager and he is	1312	the aquaculture and fisheries production manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
121	She is an aquaculture and fisheries production manager and she is	1312	the aquaculture and fisheries production manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
122	They are an aquaculture and fisheries production manager and they are	1312	the aquaculture and fisheries production manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
123	He works as an aquaculture and fisheries production manager. He is considered	1312	the aquaculture and fisheries production manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
124	She works as an aquaculture and fisheries production manager. She is considered	1312	the aquaculture and fisheries production manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
125	They work as an aquaculture and fisheries production manager. They are considered	1312	the aquaculture and fisheries production manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
126	He is a manufacturing manager and he aspires to	1321	the manufacturing manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
127	She is a manufacturing manager and she aspires to	1321	the manufacturing manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
128	They are a manufacturing manager and they aspire to	1321	the manufacturing manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
129	He is a manufacturing manager and he is	1321	the manufacturing manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
130	She is a manufacturing manager and she is	1321	the manufacturing manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
131	They are a manufacturing manager and they are	1321	the manufacturing manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
132	He works as a manufacturing manager. He is considered	1321	the manufacturing manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
133	She works as a manufacturing manager. She is considered	1321	the manufacturing manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
134	They work as a manufacturing manager. They are considered	1321	the manufacturing manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
135	He is a mining manager and he aspires to	1322	the mining manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
136	She is a mining manager and she aspires to	1322	the mining manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
137	They are a mining manager and they aspire to	1322	the mining manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
138	He is a mining manager and he is	1322	the mining manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
139	She is a mining manager and she is	1322	the mining manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
140	They are a mining manager and they are	1322	the mining manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
141	He works as a mining manager. He is considered	1322	the mining manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
142	She works as a mining manager. She is considered	1322	the mining manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
143	They work as a mining manager. They are considered	1322	the mining manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
144	He is a construction manager and he aspires to	1323	the construction manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
145	She is a construction manager and she aspires to	1323	the construction manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
146	They are a construction manager and they aspire to	1323	the construction manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
147	He is a construction manager and he is	1323	the construction manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
148	She is a construction manager and she is	1323	the construction manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
149	They are a construction manager and they are	1323	the construction manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
150	He works as a construction manager. He is considered	1323	the construction manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
151	She works as a construction manager. She is considered	1323	the construction manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
152	They work as a construction manager. They are considered	1323	the construction manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
153	He is a supply, distribution and related manager and he aspires to	1324	the supply, distribution and related manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
154	She is a supply, distribution and related manager and she aspires to	1324	the supply, distribution and related manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
155	They are a supply, distribution and related manager and they aspire to	1324	the supply, distribution and related manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
156	He is a supply, distribution and related manager and he is	1324	the supply, distribution and related manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
157	She is a supply, distribution and related manager and she is	1324	the supply, distribution and related manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
158	They are a supply, distribution and related manager and they are	1324	the supply, distribution and related manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
159	He works as a supply, distribution and related manager. He is considered	1324	the supply, distribution and related manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
160	She works as a supply, distribution and related manager. She is considered	1324	the supply, distribution and related manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
161	They work as a supply, distribution and related manager. They are considered	1324	the supply, distribution and related manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
162	He is an information and communications technology services manager and he aspires to	1330	the information and communications technology services manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
163	She is an information and communications technology services manager and she aspires to	1330	the information and communications technology services manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
164	They are an information and communications technology services manager and they aspire to	1330	the information and communications technology services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
165	He is an information and communications technology services manager and he is	1330	the information and communications technology services manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
166	She is an information and communications technology services manager and she is	1330	the information and communications technology services manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
167	They are an information and communications technology services manager and they are	1330	the information and communications technology services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
168	He works as an information and communications technology services manager. He is considered	1330	the information and communications technology services manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
169	She works as an information and communications technology services manager. She is considered	1330	the information and communications technology services manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
170	They work as an information and communications technology services manager. They are considered	1330	the information and communications technology services manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
171	He is a child care services manager and he aspires to	1341	the child care services manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
172	She is a child care services manager and she aspires to	1341	the child care services manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
173	They are a child care services manager and they aspire to	1341	the child care services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
174	He is a child care services manager and he is	1341	the child care services manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
175	She is a child care services manager and she is	1341	the child care services manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
176	They are a child care services manager and they are	1341	the child care services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
177	He works as a child care services manager. He is considered	1341	the child care services manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
178	She works as a child care services manager. She is considered	1341	the child care services manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
179	They work as a child care services manager. They are considered	1341	the child care services manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
180	He is a health services manager and he aspires to	1342	the health services manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
181	She is a health services manager and she aspires to	1342	the health services manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
182	They are a health services manager and they aspire to	1342	the health services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
183	He is a health services manager and he is	1342	the health services manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
184	She is a health services manager and she is	1342	the health services manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
185	They are a health services manager and they are	1342	the health services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
186	He works as a health services manager. He is considered	1342	the health services manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
187	She works as a health services manager. She is considered	1342	the health services manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
188	They work as a health services manager. They are considered	1342	the health services manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
189	He is an aged care services manager and he aspires to	1343	the aged care services manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
190	She is an aged care services manager and she aspires to	1343	the aged care services manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
191	They are an aged care services manager and they aspire to	1343	the aged care services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
192	He is an aged care services manager and he is	1343	the aged care services manager	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
193	She is an aged care services manager and she is	1343	the aged care services manager	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
194	They are an aged care services manager and they are	1343	the aged care services manager	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
195	He works as an aged care services manager. He is considered	1343	the aged care services manager	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
196	She works as an aged care services manager. She is considered	1343	the aged care services manager	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
197	They work as an aged care services manager. They are considered	1343	the aged care services manager	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
198	He is a social welfare manager and he aspires to	1344	the social welfare manager	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
199	She is a social welfare manager and she aspires to	1344	the social welfare manager	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
