ISCO-08	identity term	number	word's gender	gender specification	second category	further specification	glossary	language	notes
1312	the aquaculture and fisheries production managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1321	the manufacturing manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1321	the manufacturing managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1322	the mining manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1322	the mining managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1323	the construction manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1323	the construction managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1324	the supply, distribution and related manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1324	the supply, distribution and related managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1330	the information and communications technology services manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1330	the information and communications technology services managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1341	the child care services manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1341	the child care services managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1342	the health services manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1342	the health services managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1343	the aged care services manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1343	the aged care services managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1344	the social welfare manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1344	the social welfare managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1345	the education manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1345	the education managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1346	the financial and insurance services branch manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1346	the financial and insurance services branch managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1349	the professional services manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1349	the professional services managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1411	the hotel manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1411	the hotel managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1412	the restaurant manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1412	the restaurant managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1420	the retail and wholesale trade manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1420	the retail and wholesale trade managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1431	the sports, recreation and cultural centre manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1431	the sports, recreation and cultural centre managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1439	the services manager	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
1439	the services managers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2111	the physicist and astronomer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2111	the physicists and astronomers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2112	the meteorologist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2112	the meteorologists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2113	the chemist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2113	the chemists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2114	the geologist and geophysicist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2114	the geologists and geophysicists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2120	the mathematician, actuary and statistician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2120	the mathematicians, actuaries and statisticians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2131	the biologist, botanist, zoologist and related professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2131	the biologists, botanists, zoologists and related professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2132	the farming, forestry and fisheries adviser	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2132	the farming, forestry and fisheries advisers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2133	the environmental protection professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2133	the environmental protection professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2141	the industrial and production engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2141	the industrial and production engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2142	the civil engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2142	the civil engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2143	the environmental engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2143	the environmental engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2144	the mechanical engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2144	the mechanical engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2145	the chemical engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2145	the chemical engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2146	the mining engineer, metallurgist and related professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2146	the mining engineers, metallurgists and related professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2149	the engineering professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2149	the engineering professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2151	the electrical engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2151	the electrical engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2152	the electronics engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2152	the electronics engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2153	the telecommunications engineer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2153	the telecommunications engineers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2161	the building architect	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2161	the building architects	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2162	the landscape architect	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2162	the landscape architects	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2163	the product and garment designer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2163	the product and garment designers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2164	the town and traffic planner	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2164	the town and traffic planners	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2165	the cartographers and surveyor	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2165	the cartographers and surveyors	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2166	the graphic and multimedia designer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2166	the graphic and multimedia designers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2211	the generalist medical practitioner	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2211	the generalist medical practitioners	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2212	the specialist medical practitioner	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2212	the specialist medical practitioners	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2221	the nursing professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2221	the nursing professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2222	the midwifery professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2222	the midwifery professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2230	the traditional and complementary medicine professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2230	the traditional and complementary medicine professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2240	the paramedical practitioner	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2240	the paramedical practitioners	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2250	the veterinarian	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2250	the veterinarians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2261	the dentist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2261	the dentists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2262	the pharmacist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2262	the pharmacists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2263	the environmental and occupational health and hygiene professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2263	the environmental and occupational health and hygiene professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2264	the physiotherapist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2264	the physiotherapists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2265	the dietician and nutritionist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2265	the dieticians and nutritionists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2266	the audiologist and speech therapist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2266	the audiologists and speech therapists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2267	the optometrist and ophthalmic optician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2267	the optometrists and ophthalmic opticians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2269	the health professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2269	the health professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2310	the university and higher education teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2310	the university and higher education teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2320	the vocational education teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2320	the vocational education teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2330	the secondary education teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2330	the secondary education teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2341	the primary school teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2341	the primary school teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2342	the early childhood educator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2342	the early childhood educators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2351	the education methods specialist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2351	the education methods specialists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2352	the special needs teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2352	the special needs teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2353	the language teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2353	the language teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2354	the music teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2354	the music teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2355	the arts teacher	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2355	the arts teachers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2356	the information technology trainer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2356	the information technology trainers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2359	the teaching professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2359	the teaching professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2411	the accountant	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2411	the accountants	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2412	the financial and investment adviser	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2412	the financial and investment advisers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2413	the financial analyst	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2413	the financial analysts	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2421	the management and organization analyst	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2421	the management and organization analysts	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2422	the policy administration professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2422	the policy administration professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2423	the personnel and careers professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2423	the personnel and careers professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2424	the training and staff development professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2424	the training and staff development professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2431	the advertising and marketing professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2431	the advertising and marketing professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2432	the public relations professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2432	the public relations professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2433	the technical and medical sales professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2433	the technical and medical sales professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2434	the information and communications technology sales professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2434	the information and communications technology sales professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2511	the systems analyst	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2511	the systems analysts	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2512	the software developer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2512	the software developers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2513	the web and multimedia developer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2513	the web and multimedia developers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2514	the applications programmer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2514	the applications programmers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2519	the software and applications developer and analyst	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2519	the software and applications developers and analysts	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2521	the database designer and administrator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2521	the database designers and administrators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2522	the systems administrator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2522	the systems administrators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2523	the computer network professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2523	the computer network professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2529	the database and network professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2529	the database and network professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2611	the lawyer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2611	the lawyers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2612	the judge	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2612	the judges	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2619	the legal professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2619	the legal professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2621	the archivist and curator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2621	the archivists and curators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2622	the librarian and related information professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2622	the librarians and related information professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2631	the economist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2631	the economists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2632	the sociologist, anthropologist and related professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2632	the sociologists, anthropologists and related professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2633	the philosopher, historian and political scientist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2633	the philosophers, historians and political scientists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2634	the psychologist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2634	the psychologists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2635	the social work and counselling professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2635	the social work and counselling professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2636	the religious professional	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2636	the religious professionals	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2641	the authors and related writer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2641	the authors and related writers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2642	the journalist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2642	the journalists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2643	the translator, interpreter and other linguist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2643	the translators, interpreters and other linguists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2651	the visual artist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2651	the visual artists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2652	the musician, singer and composer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2652	the musicians, singers and composers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2653	the dancer and choreographer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2653	the dancers and choreographers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2654	the film, stage and related director and producer	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2654	the film, stage and related directors and producers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2655	the actress	singular	female	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	manually added for gender representation
2655	the actor	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2655	the actresses	plural	female	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	manually added for gender representation
2655	the actors	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2656	the announcer on radio, television and other media	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2656	the announcers on radio, television and other media	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2659	the creative and performing artist	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
2659	the creative and performing artists	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3111	the chemical and physical science technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3111	the chemical and physical science technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3112	the civil engineering technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3112	the civil engineering technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3113	the electrical engineering technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3113	the electrical engineering technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3114	the electronics engineering technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3114	the electronics engineering technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3115	the mechanical engineering technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3115	the mechanical engineering technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3116	the chemical engineering technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3116	the chemical engineering technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3117	the mining and metallurgical technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3117	the mining and metallurgical technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3118	the draughtsperson	singular	person	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3118	the draughtspeople	plural	person	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3119	the physical and engineering science technician	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3119	the physical and engineering science technicians	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3121	the mining supervisor	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3121	the mining supervisors	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3122	the manufacturing supervisor	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3122	the manufacturing supervisors	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3123	the construction supervisor	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3123	the construction supervisors	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3131	the power production plant operator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3131	the power production plant operators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3132	the incinerator and water treatment plant operator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3132	the incinerator and water treatment plant operators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3133	the chemical processing plant controller	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3133	the chemical processing plant controllers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3134	the petroleum and natural gas refining plant operator	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3134	the petroleum and natural gas refining plant operators	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3135	the metal production process controller	singular	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
3135	the metal production process controllers	plural	neutral	innate	sociocultural status	economical, educational and employment status	ISCO-08	en	
